IATA,ICAO,Airline,Call sign,Country/Region,Comments
OH,COM,Comair,COMAIR,United States,
OH,JIA,PSA Airlines,BLUE STREAK,United States,part of American Airlines Group
OJ,FJM,Fly Jamaica Airways,GREENHEART,Jamaica,
OJ,OLA,Overland Airways,OVERLAND,Nigeria,
OK,CSA,Czech Airlines,CSA,Czech Republic,
OK,CSA,Czech Airlines,CSA-LINES,Czech Republic,
OL,OLT,OLT Express Germany,OLTRA,Germany,
OL,SZB,Samoa Air,SAMOA,Samoa,
OM,MGL,MIAT Mongolian Airlines,MONGOL AIR,Mongolia,
ON,RON,Our Airline,OUR AIRLINE,Nauru,formerly Air Nauru
OO,SKW,SkyWest Airlines,SKYWEST,United States,
OP,CHK,Chalk's International Airlines,CHALKS,United States,
OQ,CQN,Chongqing Airlines,CHONG QING,China,
OR,TFL,TUI Airlines Netherlands,ORANGE,Netherlands,
OS,AUA,Austrian Airlines,AUSTRIAN,Austria,
OT,PEL,Aeropelican Air Services,PELICAN,Australia,
OU,CTN,Croatia Airlines,CROATIA,Croatia,
OV,ELL,Estonian Air,ESTONIAN,Estonia,
OV,OMS,SalamAir,MAZOON,Oman,Oman’s first Low Cost Carrier
OW,EXK,Executive Airlines,EXECUTIVE EAGLE,United States,American Eagle
OX,OEA,Orient Thai Airlines,ORIENT THAI,Thailand,
OY,ANS,Andes Líneas Aéreas,AEROANDES,Argentina,
OY,OAE,Omni Air International,OMNI-EXPRESS,United States,
OZ,AAR,Asiana Airlines,ASIANA,Republic of Korea,
OZ,OZR,Ozark Air Lines,OZARK,United States,Defunct
P0,PFZ,Proflight Zambia,PROFLIGHT-ZAMBIA,Zambia,
P2,LLI,Small Planet Airlines,AURIGA,Italy,defunct
P3,PTB,Passaredo Transportes Aéreos,PASSAREDO,Brazil,
P5,RPB,AeroRepública,AEROREPUBLICA,Colombia,
P6,PSC,Pascan Aviation,PASCAN,Canada,1999
P6,PVG,Privilege Style Líneas Aéreas,PRIVILEGE,Spain,
P7,REP,Regional Paraguaya,REGIOPAR,Paraguay,Defunct
P7,ESL,Russian Sky Airlines,RADUGA,Russia,
P7,LLP,Small Planet Airlines,SKYPOL,Poland,defunct
P8,MKG,Air Mekong,MEKONG,Vietnam,defunct
P8,PTN,Pantanal Linhas Aéreas,PANTANAL,Brazil,
P9,,Nas Air,,Mali,
P9,PGP,Perm Airlines,PERM AIR,Russia,
P9,PVN,Peruvian Airlines,,Peru,
PA,FCL,Florida Coastal Airlines,FLORIDA COASTAL,United States,
PA,PAA,Pan American Airways,,United States,defunct
PA,PAA,Pan American World Airways,CLIPPER,United States,
PB,SPR,Provincial Airlines,SPEEDAIR,Canada,
PC,FAJ,Air Fiji,FIJIAIR,Fiji,defunct
PC,PGT,Pegasus Airlines,SUNTURK,Turkey,"WAS 1I, H9"
PD,POE,Porter Airlines,PORTER,Canada,
PE,AEL,Air Europe Italy,AIR EUROPE,Italy,defunct
PE,PEV,People's,PEOPLES,Austria,Previously used by Pegaviation
PF,PNW,Palestinian Airlines,PALESTINIAN,Egypt,
PG,BKP,Bangkok Airways,BANGKOK AIR,Thailand,
PH,PAO,Polynesian Airlines,POLYNESIAN,Samoa,
PI,PDT,Piedmont Airlines (1948-1989),PIEDMONT,United States,defunct
PI,SGU,Sol del Paraguay,SOLPARAGUAYO,Paraguay,
PI,SUF,Sun Air (Fiji),SUNFLOWER,Fiji,
PJ,SPM,Air Saint Pierre,SAINT-PIERRE,France,
PK,PIA,Pakistan International Airlines,PAKISTAN,Pakistan,
PL,PLI,Aeroperú,Aeroperu,Peru,defunct
PL,ASE,Airstars,MOROZOV,Russia,defunct
PM,TOS,Tropic Air,TROPISER,Belize,
PN,CHB,West Air (China),WEST CHINA,China,
PN,,Pan American Airways,,United States,defunct
PO,PAC,Polar Air Cargo,POLAR,United States,
PQ,SQP,SkyUp,SKYUP,Ukraine,
PR,PAL,Philippine Airlines,PHILIPPINE,Philippines,
PS,AUI,Ukraine International Airlines,UKRAINE INTERNATIONAL,Ukraine,
PT,CCI,Capital Cargo International Airlines,CAPPY,United States,Allocation deleted 2013
PT,SWN,West Air Sweden,AIR SWEDEN,Sweden,
PU,PUA,PLUNA,PLUNA,Uruguay,
PV,PNR,PAN Air,SKYJET,Spain,
PV,SBU,St Barth Commuter,BLACK FIN,France,
PW,PRF,Precision Air,PRECISION AIR,Tanzania,
PX,ANG,Air Niugini,NIUGINI,Papua New Guinea,
PY,SLM,Surinam Airways,SURINAM,Suriname,
PZ,LAP,LATAM Paraguay,PARAGUAYA,Paraguay,
PZ,LAP,TAM Mercosur,PARAGUAYA,Paraguay,
Q2,DQA,Maldivian (airline),ISLAND AVIATION,Maldives,
Q3,MBN,Zambian Airways,ZAMBIANA,Zambia,
Q4,,Mastertop Linhas Aéreas,,Brazil,
Q4,SWX,Swazi Express Airways,SWAZI EXPRESS,Swaziland,
Q4,TLK,Starlink Aviation,STARLINK,Canada,
Q5,MLA,40-Mile Air,MILE-AIR,United States,
Q6,CDP,Aero Condor Peru,CONDOR-PERU,Peru,
Q7,SBM,SkyBahamas,SKY BAHAMAS,Bahamas,
Q8,PEC,Pacific East Asia Cargo Airlines,PAC-EAST CARGO,Philippines,
Q9,AFU,Afrinat International Airlines,AFRINAT,Gambia,"defunct, ICAO code no longer allocated"
QB,AAJ,Air Alma,AIR ALMA,Canada,Ceased operations 10/01/2002; former IATA code: 4L
QB,GFG,Georgian National Airlines,NATIONAL,Georgia,
QC,CRD,Air Corridor,AIR CORRIDOR,Mozambique,defunct
QD,QCL,Air Class Líneas Aéreas,ACLA,Uruguay,
QE,ECC,Crossair Europe,Cigogne,Switzerland,
QF,EAQ,Eastern Australia Airlines,EASTERN,Australia,IATA dupe with parent QANTAS. Also uses 2 letter ICAO EA.
QF,QFA,Qantas,QANTAS,Australia,
QF,QLK,QantasLink,QLINK,Australia,Turbo-Props
QF,QJE,QantasLink,QJET,Australia,Qantaslink Jet Operations
QF,SSQ,Sunstate Airlines,SUNSTATE,Australia,Uses IATA of parent QANTAS.
QH,LYN,Air Kyrgyzstan,ALTYN AVIA,Kyrgyzstan,Name changed from Kyrgyzstan
QH,FLZ,Aero Leasing,AIR FLORIDA,United States,dba Air Florida
QH,FLA,Air Florida,PALM,United States,relaunching
QH,LYN,Kyrgyzstan,ALTYN AVIA,Kyrgyzstan,Name changed to Air Kyrgyzstan
QI,CIM,Cimber Sterling,CIMBER,Denmark,
QK,JZA,Air Canada Jazz,JAZZ,Canada,
QL,RLN,Aero Lanka,AERO LANKA,Sri Lanka,
QL,RLN,Lankan Cargo,AERO LANKA,Sri Lanka,
QL,LER,Línea Aérea de Servicio Ejecutivo Regional,LASER,Venezuela,
QM,AML,Air Malawi,MALAWI,Malawi,
QN,ARR,Air Armenia,AIR ARMENIA,Armenia,
QO,MPX,Aeromexpress,AEROMEXPRESS,Mexico,
QO,OGN,Origin Pacific Airways,ORIGIN,New Zealand,
QQ,UTY,Alliance Airlines,UNITY,Australia,
QQ,ROA,Reno Air,RENO AIR,United States,defunct
QR,QTR,Qatar Airways,QATARI,Qatar,
QS,QSC,African Safari Airways,ZEBRA,Kenya,
QS,TVS,Smartwings,SKYTRAVEL,Czech Republic,
QT,TPA,TAMPA,TAMPA,Colombia,
QU,UTN,UTair-Ukraine,UT Ukraine,Ukraine,
QU,UGA,Uganda Airlines (1976–2001),UGANDA,Uganda,Ceased operations 2001
QV,LAO,Lao Airlines,LAO,Lao People's Democratic Republic,
QW,BWG,Blue Wings,BLUE WINGS,Germany,defunct
QX,QXE,Horizon Air,HORIZON AIR,United States,
QY,BCS,European Air Transport,EUROTRANS,Belgium,
QZ,AWQ,Indonesia AirAsia,WAGON AIR,Indonesia,
R0,RPK,Royal Airlines,ROYAL PAKISTAN,Pakistan,
R1,,Sirin,,,
R2,ORB,Orenburg Airlines,ORENBURG,Russia,
R3,RME,Armenian Airlines,ARMENIAN,Armenia,defunct
R3,SYL,Aircompany Yakutia,AIR YAKUTIA,Russia,
R3,SYL,Yakutia Airlines,AIR YAKUTIA,Russia,
R5,MAC,Malta Air Charter,MALTA CHARTER,Malta,Defunct?
R6,,RACSA,,Guatemala,
R7,OCA,Aserca Airlines,AROSCA,Venezuela,
R8,KGA,Kyrgyzstan Airlines,KYRGYZ,Kyrgyzstan,
R9,CAM,Camai Air,AIR CAMAI,United States,Village Aviation
RA,RNA,Nepal Airlines,ROYAL NEPAL,Nepal,was Royal Nepal Airlines
RB,SBK,Air Srpska,Air Srpska,Bosnia and Herzegovina,defunct
RB,SYR,Syrian Arab Airlines,SYRIANAIR,Syrian Arab Republic,
RC,FLI,Atlantic Airways,FAROELINE,Faroe Islands,
RD,RYN,Ryan International Airlines,RYAN INTERNATIONAL,United States,
RE,REA,Aer Arann,AER ARANN,Ireland,
RE,STK,Stobart Air,STOBART,Ireland,
RF,FWL,Florida West International Airways,FLO WEST,United States,
RG,VRN,VRG Linhas Aéreas,VARIG,Brazil,
RH,HKC,Hong Kong Air Cargo,MASCOT,Hong Kong,
RH,RPH,Republic Express Airlines,PUBLIC EXPRESS,Indonesia,
RI,MDL,Mandala Airlines,MANDALA,Indonesia,
RJ,RJA,Royal Jordanian,JORDANIAN,Jordan,
RK,RCT,Skyview Airways,GREENSKY,THAILAND,2014[41]
RK,RKH,Royal Khmer Airlines,KHMER AIR,Cambodia,
RL,RIO,Rio Linhas Aéreas,RIO,Brazil,
RL,PPW,Royal Phnom Penh Airways,PHNOM-PENH AIR,Cambodia,
RO,ROT,Tarom,TAROM,Romania,
RP*,CHQ,Chautauqua Airlines,CHAUTAUQUA,United States,Was US*
RQ,KMF,Kam Air,KAMGAR,Afghanistan,
RR,RFR,Royal Air Force,RAFAIR,United Kingdom,
RR,RYS,Buzz (Ryanair),MAGIC SUN,Poland,
RS,ASV,Air Seoul,AIR SEOUL,South Korea,
RS,ICT,Intercontinental de Aviación,CONTAVIA,Colombia,
RS,MJN,Royal Air Force of Oman,MAJAN,Oman,
RT,BUG,UVT Aero,,Russia,
RU,ABW,AirBridge Cargo,AIRBRIDGE CARGO,Russia,Former IATA: BO
RU,SKI,SkyKing Turks and Caicos Airways,SKYKING,Turks and Caicos Islands,IATA was QW
RV,ROU,Air Canada Rouge,ROUGE,Canada,
RV,CPN,Caspian Airlines,CASPIAN,Iran,
RV*,AFI,Africaone,AFRICAWORLD,The Gambia,
RW,RPA,Republic Airlines,BRICKYARD,United States,
RX,AEH,Aviaexpress,AVEX,Hungary,defunct
RX,RGE,Regent Airways,REGENT,Bangladesh,
RZ,,Euro Exec Express,,Sweden,
RZ*,LRS,Sansa,,Costa Rica,
S0,OKS,Slok Air Gambia,SLOK GAMBIA,Gambia,
S2,RSH,Air Sahara,SAHARA,India,renamed to Jetlite
S3,BBR,Santa Barbara Airlines,SANTA BARBARA,Venezuela,
S4,RZO,SATA International,AIR AZORES,Portugal,
S5,TCF,Shuttle America,MERCURY,United States,
S5,LLC,Small Planet Airlines,SMALL PLANET,Lithuania,defunct
S5,TSJ,Trast Aero,TRAST AERO,Kyrgyzstan,
S6,SRR,Star Air,WHITESTAR,Denmark,
S6,,Star Air,,Denmark,
S7,SBI,S7 Airlines,SIBERIAN AIRLINES,Russia,
S8,CSU,Chari Aviation Services,CHARI SERVICE,Chad,
S8,SWW,Shovkoviy Shlyah,WAY AERO,Ukraine,
S8,SWZ,Skywise Airline,SKYWISE,South Africa,
S9,HSA,East African Safari Air,DUMA,Kenya,
SA,SAA,South African Airways,SPRINGBOK,South Africa,
SB,ACI,Air Caledonie International,AIRCALIN,France,
SC,CDG,Shandong Airlines,SHANDONG,China,
SD,SUD,Sudan Airways,SUDANAIR,Sudan,
SE,SEU,XL Airways France,STARWAY,France,
SF,DTH,Tassili Airlines,TASSILI AIR,Algeria,
SG,SEJ,Spicejet,SPICEJET,India,
SH,FLY,Fly Me Sweden,FLYBIRD,Sweden,
SH,SHA,Sharp Airlines,SHARP,Australia,Uses unregistered ICAO & IATA.
SI,SIH,Skynet Airlines,BLUEJET,Ireland,
SJ,FOM,Freedom Air,FREE AIR,New Zealand,Operated from 1995 to 30 March 2008
SK,SAS,Scandinavian Airlines,SCANDINAVIAN,"Sweden, Denmark and Norway",
SK,CNO,SAS Braathens,SCANOR,Norway,
SL,RSL,Rio Sul Serviços Aéreos Regionais,RIO SUL,Brazil,defunct
SL,TLM,Thai Lion Mentari,MENTARI,Thailand,
SM,AAW,Aberdeen Airways,,United Kingdom,defunct
SM,SRL,Swedline Express,Starline,Sweden,Ceased operations 2006
SN,BXI,Brussels International Airlines,XENIA,Belgium,
SN,BEL,Brussels Airlines,BEE-LINE,Belgium,
SO,HKA,Superior Aviation,SPEND AIR,United States,
SO,OSL,Sosoliso Airlines,SOSOLISO,Nigeria,
SO,AAS,Sunshine Airlines,,,defunct
SP,SAT,SATA Air Acores,SATA,Portugal,
SQ,SIA,Singapore Airlines,SINGAPORE,Singapore,
SQ,SQC,Singapore Airlines Cargo,SINGCARGO,Singapore,
SR,SWR,Swissair,SWISSAIR,Switzerland,defunct
SR,SDR,Sundair,SUNDAIR,Germany,
SS,CRL,Corsairfly,CORSAIR,France,
SS,CRL,Corsairfly,CORSAIR,France,
ST,GMI,Germania,GERMANIA,Germany,
ST*,STT,"Western Aircraft, Inc",SAWTOOTH,United States,
SU,AFL,Aeroflot Russian Airlines,AEROFLOT,Russia,
SV,SVA,Saudia,SAUDIA,Saudi Arabia,
SW,NMB,Air Namibia,NAMIBIA,Namibia,
SX,SRK,Sky Work Airlines,SKYFOX,Switzerland,
SX,SKB,Skybus Airlines,SKYBUS,United States,defunct
SY,SCX,Sun Country Airlines,SUN COUNTRY,United States,
SZ,WOW,Air Southwest,SWALLOW,United Kingdom,defunct
T2,TCG,Thai Air Cargo,THAI CARGO,Thailand,
T3,EZE,Eastern Airways,EASTFLIGHT,United Kingdom,
T4,TIB,TRIP Linhas Aéreas,TRIP,Brazil,IATA code 8R changed to T4 (2010)
T5,TUA,Turkmenhovayollary,TURKMENISTAN,Turkmenistan,
T6,TVR,Tavrey Airlines,TAVREY,Ukraine,
T7,TJT,Twin Jet,TWINJET,France,
T9,TRZ,TransMeridian Airlines,TRANS-MERIDIAN,United States,Defunct
T9,TSX,Thai Star Airlines,THAI STAR,Thailand,
TC,ATC,Air Tanzania,TANZANIA,Tanzania,
TC,ATC,Air Tanzania Company Limited,TANZANIA,Tanzania,
TD,LUR,Atlantis European Airways,,Armenia,
TD,TLP,Tulip Air,TULIPAIR,Netherlands,
TE,LIL,FlyLal,LITHUANIA AIR,Lithuania,defunct
TE,IGA,Skytaxi,IGUANA,Poland,
TF,SCW,Malmö Aviation,SCANWING,Sweden,
TG,THA,Thai Airways International,THAI,Thailand,
TH,,BA Connect,,United Kingdom,
TH,TSE,Transmile Air Services,TRANSMILE,Malaysia,
TI,TOL,Tol-Air Services,TOL AIR,United States,
TJ,GPD,Tradewind Aviation,GOODSPEED,United States,
TK,THY,Turkish Airlines,TURKISH,Turkey,
TL,ANO,Airnorth,TOPEND,Australia,
TL,TMA,Trans Mediterranean Airlines,TANGO LIMA,Lebanon,
TM,LAM,Linhas Aéreas de Moçambique,MOZAMBIQUE,Mozambique,
TN,THT,Air Tahiti Nui,TAHITI AIRLINES,France,
TO,PSD,President Airlines,,Cambodia,
TO,TVF,Transavia France,FRANCE SOLEIL,France,
TP,TAP,TAP Portugal,AIR PORTUGAL,Portugal,
TQ,TDM,Tandem Aero,TANDEM,Moldova,
TR,TGW,Scoot,SCOOTER,Singapore,Former IATA: TZ Former ICAO: SCO; Adopted Tigerair codes after their merger
TR,TBA,Transbrasil,TRANSBRASIL,Brazil,defunct
TR,TGW,Tigerair Singapore,GO CAT,Singapore,Merged with Scoot
TS,TSC,Air Transat,AIR TRANSAT,Canada,
TT,KLA,Air Lithuania,KAUNAS,Lithuania,defunct
TT,TGG,Tigerair Australia,TIGGOZ,Australia,"Previously TGW, callsign GO CAT"
TU,TAR,Tunisair,TUNAIR,Tunisia,
TV,VEX,Virgin Express,VIRGIN EXPRESS,Belgium,
TW,TWB,T'way Air,TWAYAIR,Republic of Korea,
TX,FWI,Air Caraïbes,FRENCH WEST,France,
TX,TAN,Transportes Aéreos Nacionales,,Honduras,Defunct
TXZ,Thai Express Air,EXPRESS AIR,Thailand,2014[49],
TY,TPC,Air Calédonie,AIRCAL,France,
TY,IWD,Iberworld,IBERWORLD,Spain,
TZ,TWG,air-taxi Europe,TWINGOOSE,Germany,
TZ,AMT,ATA Airlines,AMTRAN,United States,defunct
TZ,,Tsaradia,,Madagascar,
U2,EZY,easyJet UK,EASY,United Kingdom,
U3,AIA,Avies,AVIES,Estonia,
U4,BHA,Buddha Air,BUDDHA AIR,Nepal,
U4,PMT,PMTair,MULTITRADE,Cambodia,Progress Multitrade
U5,GWY,USA3000 Airlines,GETAWAY,United States,
U6,SVR,Ural Airlines,SVERDLOVSK AIR,Russia,
U7,UGA,Air Uganda,UGANDA,Uganda,
U7,,Northern Dene Airways,,Canada,
U7,JUS,USA Jet Airlines,JET USA,United States,
U8,RNV,Armavia,ARMAVIA,Armenia,"defunct, ICAO code no longer allocated"
UA,UAL,United Airlines,UNITED,United States,
UB,UBA,Myanma Airways,UNIONAIR,Myanmar,
UC,LCO,LATAM Cargo Chile,LAN CARGO,Chile,
UD,HER,Hex'Air,HEX AIRLINE,France,
UE,NAS,Nasair,NASAIRWAYS,Eritrea,
UE,TEP,Transeuropean Airlines,TRANSEURLINE,Russia,
UF,UKM,UM Airlines,UKRAINE MEDITERRANEE,Ukraine,Ukraine Mediterranean Airlines
UG,SEN,SevenAir,S-BAR,United States,
UG,TUI,Tuninter,,Tunisia,
UH,USH,US Helicopter,US-HELI,United States,
UI,ECA,Eurocypria Airlines,EUROCYPRIA,Cyprus,
UI,CSW,SW Italia,SILKITALIA,Italy,
UJ,LMU,Al Masria Universal Airlines,ALMASRIA,Egypt,
UK,VTI,Vistara,Vistara,India,Commenced operations 9 January 2015
UL,ALK,SriLankan Airlines,SRILANKAN,Sri Lanka,
UM,AZW,Air Zimbabwe,AIR ZIMBABWE,Zimbabwe,
UN,TSO,Transaero Airlines,TRANSOVIET,Russia,
UO,HKE,Hong Kong Express Airways,HONGKONG SHUTTLE,Hong Kong,
UP,BHS,Bahamasair,BAHAMAS,Bahamas,
UQ,OCM,O'Connor Airlines,OCONNOR,Australia,Defunct - Bankrupt
UR,UGD,Uganda Airlines,CRESTED,Uganda,Started operations in 2019
US,AWE,US Airways,CACTUS,United States,
US,,Unavia Suisse,,Switzerland,
UT,UTA,UTair Aviation,UTAIR,Russia,WAS P2 till 2006
UU,REU,Air Austral,REUNION,France,
UX,AEA,Air Europa,EUROPA,Spain,
UY,UYC,Cameroon Airlines,CAM-AIR,Cameroon,defunct
UZ,BRQ,El-Buraq Air Transport,BURAQAIR,Libya,
V0,VCV,Conviasa,CONVIASA,Venezuela,
V2,AKT,Karat,AVIAKARAT,Russia,
V2,RBY,Vision Airlines,RUBY,United States,Charter Airline and Las Vegas Tours
V3,KRP,Carpatair,CARPATAIR,Romania,
V4,REK,Reem Air,REEM AIR,Kyrgyzstan,
V4,VES,Vieques Air Link,VIEQUES,United States,
V5,VLI,Avolar Aerolíneas,AEROVOLAR,Mexico,defunct
V5,VPA,DanubeWings,VIP TAXI,Slovakia,Former names VIP Air and VIP Wings
V5,RYL,Royal Aruban Airlines,ROYAL ARUBAN,Aruba,
V7,SNG,Air Senegal International,AIR SENEGAL,Senegal,defunct
V7,VOE,Volotea,VOLOTEA,Spain,
V8,VAS,ATRAN Cargo Airlines,ATRAN,Russian Federation,
V8,IAR,Iliamna Air Taxi,ILIAMNA AIR,United States,
V9,BTC,BAL Bashkirian Airlines,BASHKIRIAN,Russia,
V9,HCW,Star1 Airlines,STAR1,Lithuania,defunct
VA,OZW,Virgin Australia Regional Airlines,VELOCITY,Australia,
VA,VOZ,Virgin Australia,VELOCITY,Australia,"Previously Used: KANGA, AURORA, VEE-OZ"
VA,,Viasa,,Venezuela,IATA Code transferred to Virgin Australia
VB,VIV,Aeroenlaces Nacionales,AEROENLACES,Mexico,Former ICAO code: AEN
VB,VIV,VIVA Aerobus,AEROENLACES,Mexico,
VC,VCX,Ocean Airlines,OCEANCARGO,Italy,
VC,VAL,Voyageur Airways,VOYAGEUR,Canada,
VD,LIB,Air Liberté,AIR LIBERTE,France,defunct
VD,KPA,Kunpeng Airlines,KUNPENG,China,
VD,BBB,SwedJet Airways,BLACKBIRD,Sweden,
VE,AVE,Avensa,AVENSA,Venezuela,defunct
VE,EUJ,EUjet,UNION JET,Ireland,defunct
VE,VLE,C.A.I. Second,VOLA,Italy,
VF,VLU,Valuair,VALUAIR,Singapore,Merged with Jetstar Asia
VG,VLM,VLM Airlines,RUBENS,Belgium,
VH,ALV,Aeropostal Alas de Venezuela,AEROPOSTAL,Venezuela,
VH,VVC,Viva Air Colombia,Viva Air Colombia,Colombia,"Commenced operations on May 25, 2012"
VI,VDA,Volga-Dnepr Airlines,VOLGA,Russia,
VJ,AFF,Africa Airways,AFRIWAYS,Benin,
VJ,VJC,Vietjet Air,VIETJET,Vietnam,
VK,FVK,FlyViking,BALDER,Norway,Established in 2016
VK,VGN,Virgin Nigeria Airways,VIRGIN NIGERIA,Nigeria,
VL,VIM,Air VIA,CRYSTAL,Bulgaria,
VM,VOA,Viaggio Air,VIAGGIO,Bulgaria,
VN,HVN,Vietnam Airlines,VIET NAM AIRLINES,Vietnam,
VO,TYR,Tyrolean Airways,TYROLEAN,Austria,Renamed from Austrian Arrows
VP,VSP,VASP,VASP,Brazil,defunct
VQ,NVQ,Novo Air,NOVO AIR,Bangladesh,
VR,TCV,TACV,CABOVERDE,Cape Verde,
VS,VIR,Virgin Atlantic,VIRGIN,United Kingdom,
VT,VTA,Air Tahiti,AIR TAHITI,French Polynesia,
VU,VUN,Air Ivoire,AIRIVOIRE,Ivory Coast,defunct
VV,AEW,Aerosvit Airlines,AEROSVIT,Ukraine,defunct
VW,TAO,Aeromar,TRANS-AEROMAR,Mexico,
VX,AES,ACES Colombia,ACES,Colombia,defunct
VX,VRD,Virgin America,REDWOOD,United States,
VY,FOS,Formosa Airlines,,Taiwan,defunct
VY,VLG,Vueling Airlines,VUELING,Spain,
VZ,MYT,MyTravel Airways,KESTREL,United Kingdom,"Defunct, callsign now used by Thomas Cook Airlines"
VZ,TVJ,Thai Vietjet Air,THAIVIET JET,Thailand,2014[49]
W2,CWA,Canadian Western Airlines,CANADIAN WESTERN,Canada,
W3,FYH,Flyhy Cargo Airlines,FLY HIGH,Thailand,
W3,SCL,Switfair Cargo,SWIFTAIR,Canada,
W4,BES,Aero Services Executive,BIRD EXPRESS,France,
W5,IRM,Mahan Air,MAHAN AIR,Iran,
W6,WZZ,Wizz Air,WIZZAIR,Hungary,
W7,SAH,Sayakhat Airlines,SAYAKHAT,Kazakhstan,
W7,KMR,Western Pacific Airlines,KOMSTAR,United States,
W8,CJT,Cargojet Airways,CARGOJET,Canada,
W9,AAB,Abelag Aviation,ABG,Belgium,
W9,JAB,Air Bagan,AIR BAGAN,Myanmar,
W9,SGR,Eastwind Airlines,STINGER,United States,defunct
W9,WUK,Wizz Air UK,WIZZ GO,United Kingdom,
WA,KLC,KLM Cityhopper,CITY,Netherlands,
WA,WAL,Western Airlines,WESTERN,United States,defunct
WA,KLC,KLM Cityhopper,CITY,the Netherlands,
WB,RWD,Rwandair Express,RWANDAIR,Rwanda,
WC,ISV,Islena De Inversiones,,Honduras,
WD,DSR,DAS Air Cargo,DAIRAIR,Uganda,
WD,MWM,Modern Transporte Aereo De Carga,MODERNAIR,Brazil,
WD,WDL,WDL Aviation,WDL,Germany,
WD*,AAN,Amsterdam Airlines,AMSTEL,Netherlands,Former IATA code: FH*. ICAO code and call sign no longer allocated
WE,CWC,Centurion Air Cargo,CHALLENGE CARGO,United States,
WE,THD,Thai Smile Airways,THAI SMILE,Thailand,2014[49]
WF,WIF,Widerøe,WIDEROE,Norway,
WG,SWG,Sunwing Airlines,SUNWING,Canada,
WH,CNW,China Northwest Airlines,CHINA NORTHWEST,China,defunct
WH,WEB,WebJet Linhas Aéreas,WEB-BRASIL,Brazil,
WK,AFB,American Falcon,AMERICAN FALCON,Argentina,defunct
WK,EDW,Edelweiss Air,EDELWEISS,Switzerland,
WL,WLS,Air Wales Virtual,WALES,United Kingdom,
WN,SWA,Southwest Airlines,SOUTHWEST,United States,
WO,WSW,Swoop,SWOOP,Canada,
WO,WOA,World Airways,WORLD,United States,
WP,ATW,Air Antwerp,DEVIL,Belgium,
WQ,SWQ,Swift Air (Interstate Equipment Leasing),SWIFTFLIGHT,United States,
WR,HRH,Royal Tongan Airlines,TONGA ROYAL,Tonga,
WR,WEN,WestJet Encore,ENCORE,Canada,
WS,WJA,WestJet,WESTJET,Canada,
WT,WSG,Wasaya Airways,WASAYA,Canada,
WV,SWV,Swe Fly,FLYING SWEDE,Sweden,
WW,BMI,Bmibaby,BABY,United Kingdom,Ceased operations
WW,WOW,WOW air,WOW air,Iceland,
WX,BCY,CityJet,CITY JET,Ireland,
WX,BCY,CityJet,CITY-IRELAND,Ireland,
WY,OMA,Oman Air,OMAN AIR,Oman,
WZ,WSF,West African Airlines,,Benin,
X3,HLX,Hapag-Lloyd Express (TUIfly),YELLOW CAB,Germany,
X7,CHF,Chitaavia,CHITA,Russia,
X9,NVD,Avion Express,NORDVIND,Lithuania,Name changed from Nordic Solutions Air
XC,CAI,Corendon Airlines,CORENDON,Turkey,Turistik Hava Tasimacilik
XF,VLK,Vladivostok Air,VLADAIR,Russia,
XG,CLI,Clickair,CLICKJET,Spain,Merge into Vueling
XG,SXD,Sunexpress Deutschland,SUNRISE,Germany,
XJ,MES,Mesaba Airlines,MESABA,United States,
XJ,TAX,Thai AirAsia X,EXPRESS WING,Thailand,
XK,CCM,Air Corsica,CORSICA,France,
XK,CCM,Corse Méditerranée,CORSICA,France,Name changed to Air Corsica
XL,LNE,Aerolane,AEROLANE,Ecuador,Líneas Aéreas Nacionales Del Ecuador
XN,XAR,XpressAir,XPRESS,Indonesia,Renamed from Travel Express Aviation Services in 2012
XO,CXH,China Xinhua Airlines,XINHUA,China,
XO,LTE,LTE International Airways,FUN JET,Spain,
XP,CXP,Xtra Airways,CASINO EXPRESS,United States,
XQ,SXS,SunExpress,SUNEXPRESS,Turkey,
XS,SIT,SITA,,Belgium,
XT,AXL,Air Exel,EXEL COMMUTER,Netherlands,defunct
XT,SKT,SkyStar Airways,SKY YOU,Thailand,
XW,NCT,NokScoot,BIG BIRD,Thailand,
Y0,EMJ,Yellow Air Taxi/Friendship Airways,,United States,
Y2,AFJ,Alliance Air,JAMBO,Uganda,Ceased operations 08/10/2000
Y2,GSM,Flyglobespan,GLOBESPAN,United Kingdom,defunct
Y4,VOI,Volaris,VOLARIS,Mexico,
Y5,GMR,Golden Myanmar Airlines,GOLDEN MYANMAR,Myanmar,
Y5,PCE,Pace Airlines,PACE,United States,
Y6,BTV,Batavia Air,BATAVIA,Indonesia,"As of June 1, 2010, IATA code changed to Y6."
Y7,TYA,NordStar,TAIMYR,Russia,
Y8,YZR,Yangtze River Express,YANGTZE RIVER,China,
Y9,IRK,Kish Air,KISHAIR,Iran,
YB,BRJ,Borajet,BORA JET,Turkey,
YD,CAT,Cologne Air Transport GmbH,,Germany,defunct since 1996
YE,ACQ,Aryan Cargo Express,,India,
YH,WCW,West Caribbean Airways,WEST,Colombia,
YI,RSI,Air Sunshine,AIR SUNSHINE,United States,
YK,KYV,Cyprus Turkish Airlines,AIRKIBRIS,Turkey,Ceased operations 2010
YL,LLM,Yamal Airlines,YAMAL,Russia,
YM,MGX,Montenegro Airlines,MONTENEGRO,Montenegro,"former callsign was ""MONTAIR"""
